Date,Audience by watch behaviour,Views
2019-11-23,Unknown,0
2019-11-24,Unknown,0
2019-11-25,Unknown,0
2019-11-26,Unknown,0
2019-11-27,Unknown,0
2019-11-28,Unknown,0
2019-11-29,Unknown,0
2019-11-30,Unknown,0
2019-12-01,Unknown,0
2019-12-02,Unknown,0
2019-12-03,Unknown,0
2019-12-04,Unknown,0
2019-12-05,Unknown,0
2019-12-06,Unknown,0
2019-12-07,Unknown,0
2019-12-08,Unknown,0
2019-12-09,Unknown,0
2019-12-10,Unknown,0
2019-12-11,Unknown,0
2019-12-12,Unknown,0
2019-12-13,Unknown,0
2019-12-14,Unknown,0
2019-12-15,Unknown,0
2019-12-16,Unknown,0
2019-12-17,Unknown,0
2019-12-18,Unknown,0
2019-12-19,Unknown,0
2019-12-20,Unknown,0
2019-12-21,Unknown,0
2019-12-22,Unknown,0
2019-12-23,Unknown,0
2019-12-24,Unknown,0
2019-12-25,Unknown,0
2019-12-26,Unknown,0
2019-12-27,Unknown,0
2019-12-28,Unknown,0
2019-12-29,Unknown,0
2019-12-30,Unknown,0
2019-12-31,Unknown,0
2020-01-01,Unknown,0
2020-01-02,Unknown,0
2020-01-03,Unknown,0
2020-01-04,Unknown,0
2020-01-05,Unknown,0
2020-01-06,Unknown,0
2020-01-07,Unknown,0
2020-01-08,Unknown,0
2020-01-09,Unknown,0
2020-01-10,Unknown,0
2020-01-11,Unknown,0
2020-01-12,Unknown,0
2020-01-13,Unknown,0
2020-01-14,Unknown,0
2020-01-15,Unknown,0
2020-01-16,Unknown,0
2020-01-17,Unknown,0
2020-01-18,Unknown,0
2020-01-19,Unknown,0
2020-01-20,Unknown,0
2020-01-21,Unknown,0
2020-01-22,Unknown,0
2020-01-23,Unknown,0
2020-01-24,Unknown,0
2020-01-25,Unknown,0
2020-01-26,Unknown,0
2020-01-27,Unknown,0
2020-01-28,Unknown,0
2020-01-29,Unknown,0
2020-01-30,Unknown,0
2020-01-31,Unknown,0
2020-02-01,Unknown,0
2020-02-02,Unknown,0
2020-02-03,Unknown,0
2020-02-04,Unknown,0
2020-02-05,Unknown,0
2020-02-06,Unknown,0
2020-02-07,Unknown,0
2020-02-08,Unknown,0
2020-02-09,Unknown,0
2020-02-10,Unknown,0
2020-02-11,Unknown,0
2020-02-12,Unknown,0
2020-02-13,Unknown,0
2020-02-14,Unknown,0
2020-02-15,Unknown,0
2020-02-16,Unknown,0
2020-02-17,Unknown,0
2020-02-18,Unknown,0
2020-02-19,Unknown,0
2020-02-20,Unknown,0
2020-02-21,Unknown,0
2020-02-22,Unknown,0
2020-02-23,Unknown,0
2020-02-24,Unknown,0
2020-02-25,Unknown,0
2020-02-26,Unknown,0
2020-02-27,Unknown,0
2020-02-28,Unknown,0
2020-02-29,Unknown,0
2020-03-01,Unknown,0
2020-03-02,Unknown,0
2020-03-03,Unknown,0
2020-03-04,Unknown,0
2020-03-05,Unknown,0
2020-03-06,Unknown,0
2020-03-07,Unknown,0
2020-03-08,Unknown,0
2020-03-09,Unknown,0
2020-03-10,Unknown,0
2020-03-11,Unknown,0
2020-03-12,Unknown,0
2020-03-13,Unknown,0
2020-03-14,Unknown,0
2020-03-15,Unknown,0
2020-03-16,Unknown,0
2020-03-17,Unknown,0
2020-03-18,Unknown,0
2020-03-19,Unknown,0
2020-03-20,Unknown,0
2020-03-21,Unknown,0
2020-03-22,Unknown,0
2020-03-23,Unknown,0
2020-03-24,Unknown,0
2020-03-25,Unknown,0
2020-03-26,Unknown,0
2020-03-27,Unknown,0
2020-03-28,Unknown,0
2020-03-29,Unknown,0
2020-03-30,Unknown,0
2020-03-31,Unknown,0
2020-04-01,Unknown,0
2020-04-02,Unknown,0
2020-04-03,Unknown,0
2020-04-04,Unknown,0
2020-04-05,Unknown,0
2020-04-06,Unknown,0
2020-04-07,Unknown,0
2020-04-08,Unknown,0
2020-04-09,Unknown,0
2020-04-10,Unknown,0
2020-04-11,Unknown,0
2020-04-12,Unknown,0
2020-04-13,Unknown,0
2020-04-14,Unknown,0
2020-04-15,Unknown,0
2020-04-16,Unknown,0
2020-04-17,Unknown,0
2020-04-18,Unknown,0
2020-04-19,Unknown,0
2020-04-20,Unknown,0
2020-04-21,Unknown,0
