Content,Video title,Video publish time,Duration,Average view duration,Stayed to watch (%),New viewers,Returning viewers,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,0:01:20,34.33,0,0,80899,1801.6108,270,397218,14.71
Q0xkwbjZ7mY,Epic blunder 😔♟️,"Sep 8, 2024",17,0:00:16,86.96,,,31,0.1041,0,255,1.96
6w2w-dcBAzA,Epic checkmate 🥲🔥,"Sep 7, 2024",24,0:00:24,85.71,,,33,0.1779,1,468,1.92
0Y_mfQHYECU,Chess.com Gameplay ♟️🔥,"Sep 1, 2024",42,0:00:23,79.25,,,45,0.2973,0,868,4.03
SCZEv3xLJJE,#checkmatestrategies,"Sep 12, 2024",24,0:00:23,75,,,26,0.1489,0,326,3.68
tqximqYQKfs,"Another Day, Another Checkmate Chess.com♟️🔥","Sep 7, 2024",38,0:00:28,57.58,,,29,0.1602,0,155,1.29
N9Pig6zTX4E,Classic chess move😂🔥,"Sep 7, 2024",27,0:00:24,50,,,29,0.1673,0,102,3.92
B3c-pLZq6QE,I almost Checkmated Him with a LEGAL MOVE! ♟️🔥,"Sep 3, 2024",26,0:00:23,42.95,,,136,0.8555,0,239,2.51
CgTo5vVfs0w,I Escaped Checkmate with a Brilliant Move♟️🔥,"Sep 3, 2024",18,0:00:18,42.67,,,132,0.6662,1,104,1.92
OCK52K6fGOA,Checkmate We got em♟️🔥,"Sep 2, 2024",32,0:00:21,40.02,,,671,3.9768,0,137,8.03
uej_D-HxyyA,When you're having fun and suddenly the game is over😔,"Sep 21, 2024",29,0:00:24,39.59,,,929,6.2392,1,363,3.86
LLDszzVZeEs,Funny chessmatch 😂😂😂,"Sep 8, 2024",24,0:00:20,38.7,,,1970,11.3238,3,383,2.09
hMWLrZ4yAU8,I played chess and won♟️🔥,"Sep 6, 2024",23,0:00:16,37.41,,,524,2.435,0,87,2.3
mrKybEtd9z8,Checkmate in 20 Moves - The Ultimate Chess Challenge,"Sep 5, 2024",16,0:00:13,37.04,,,452,1.6281,1,220,1.36
Tb_9fwoUEMw,I won in one move😔♟️,"Sep 4, 2024",22,0:00:18,33.05,,,537,2.7178,0,118,2.54
ZGcklKaBeII,The underdog wins 🏆🔥,"Sep 6, 2024",34,0:00:23,32.94,,,117,0.7345,0,489,1.43
tli1I9OPF5o,"""GG"" High diff chess match ♟️🔥","Sep 4, 2024",30,0:00:19,32.32,,,426,2.3608,0,134,4.48
0oNtE6FE3To,One-sided chess game😂♟️,"Sep 1, 2024",45,0:00:27,31.68,,,559,4.2665,2,213,3.76
wrvp0D9koRU,Checkmate Made Easy!,"Sep 3, 2024",17,0:00:14,30.83,,,202,0.8243,0,110,6.36
b6JgjO-SfUk,Blunder👀♟️?,"Dec 1, 2025",29,0:00:25,30.65,,,218,0.4795,0,66,9.09
FeK6iZAX3LQ,2 more days 🥲🏆♟️,"Sep 6, 2024",16,0:00:12,30.38,,,414,1.454,3,88,3.41
q3orVBZHIwU,Sweet Victory ♟️🔥,"Sep 4, 2024",37,0:00:18,30.15,,,430,2.2022,0,597,0.67
mm1ghoixnew,Clean checkmate ♟️🔥,"Sep 5, 2024",16,0:00:14,29.53,,,429,1.7147,0,118,5.08
fyyxJhz8OM4,Another one♟️🔥,"Sep 6, 2024",21,0:00:19,23.56,,,87,0.4595,0,126,3.17
Yl0leMIHmyE,Epic blunder 😂😂😂😂,"Sep 7, 2024",32,0:00:18,22.58,,,345,1.7183,1,144,2.08
LYIP0PHMMLA,Chess.com Gameplay ♟️🔥 #chess,"Sep 1, 2024",23,0:00:11,22.27,,,53,0.1706,0,269,2.23
kYV7JeD9Nfs,It's beautiful 😢😢😢 #chess,"Sep 9, 2024",19,0:00:14,20.81,,,52,0.1959,0,266,1.13
Iv9np0WMngc,Sensational checkmate ♟️🔥,"Sep 6, 2024",18,0:00:12,18.33,,,47,0.156,0,85,2.35
2sX4PeXVEjo,World's most anticipated games of 2023: Top 10 countdown,"Jul 30, 2022",609,0:02:08,,,,41,1.4601,0,1387,1.95
5G2_-vDwM7s,New horror games in 2022: Top 10 scariest countdown,"Jul 25, 2022",694,0:02:48,,,,100,4.6715,2,2153,3.25
99ihxPq5s_M,Top 10 new upcoming games in 2022,"Feb 4, 2022",1565,0:02:00,,,,51,1.7091,1,1571,2.23
